期间:2024年第9期,,,,币别:人民币,,公司:南宁产投智创科电投资开发有限责任公司,,包含未过账凭证,,,
科目代码,科目名称,年初余额,年初余额,期初余额,期初余额,本期发生额,本期发生额,本年累计,本年累计,期末余额,期末余额
科目代码,科目名称,借方,贷方,借方,贷方,借方,贷方,借方,贷方,借方,贷方
1471.01.03,存货跌价准备　_存货减值准备_库存商品,,,,,,,,,,
1471.01.04,存货跌价准备　_存货减值准备_周转材料,,,,,,,,,,
1471.01.05,存货跌价准备　_存货减值准备_发出商品,,,,,,,,,,
1471.02,存货跌价准备　_合同预计损失准备,,,,,,,,,,
1501,债权投资,,,,,,,,,,
1501.01,债权投资_成本,,,,,,,,,,
1501.02,债权投资_利息调整,,,,,,,,,,
1501.03,债权投资_应计利息,,,,,,,,,,
1502,债权投资减值准备,,,,,,,,,,
1503,其他债权投资,,,,,,,,,,
1503.01,其他债权投资_成本,,,,,,,,,,
1503.02,其他债权投资_利息调整,,,,,,,,,,
1503.03,其他债权投资_应计利息,,,,,,,,,,
1504,其他权益工具投资,,,,,,,,,,
1504.01,其他权益工具投资_成本,,,,,,,,,,
1504.02,其他权益工具投资_公允价值变动,,,,,,,,,,
1505,其他债权投资减值准备,,,,,,,,,,
1511,长期股权投资,,,,,,,,,,
1511.01,长期股权投资_成本,,,,,,,,,,
1511.02,长期股权投资_损益调整,,,,,,,,,,
1511.03,长期股权投资_其他权益变动,,,,,,,,,,
1512,长期股权投资减值准备　,,,,,,,,,,
1521,投资性房地产,,,,,,,,,,
1521.01,投资性房地产_成本,,,,,,,,,,
1521.01.01,投资性房地产_成本_房屋,,,,,,,,,,
1521.01.02,投资性房地产_成本_土地使用权,,,,,,,,,,
1521.02,投资性房地产_公允价值变动,,,,,,,,,,
1521.02.01,投资性房地产_公允价值变动_房屋,,,,,,,,,,
1521.02.02,投资性房地产_公允价值变动_土地使用权,,,,,,,,,,
1531,长期应收款,,,,,,,,,,
1531.01,长期应收款_融资租赁款,,,,,,,,,,
1531.02,长期应收款_递延应收款,,,,,,,,,,
1532,未实现融资收益,,,,,,,,,,
1532.01,未实现融资收益_租赁收益,,,,,,,,,,
1532.02,未实现融资收益_利息收益,,,,,,,,,,
1601,固定资产　,16253119.79,,125120785.45,,,,108867665.66,,125120785.45,
1601.01,固定资产　_房屋建筑物,,,,,,,,,,
